,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Dune,2021,155,8.5,75.0,33051,
1,Shang-Chi and the Legend of the Ten Rings,2021,132,7.9,71.0,84857,
2,The Matrix,1999,136,8.7,73.0,1757055,171.48
3,Shershaah,2021,135,8.8,,101389,
4,Avengers: Endgame,2019,181,8.4,78.0,938234,858.37
5,The Shawshank Redemption,1994,142,9.3,80.0,2463202,28.34
6,Once Upon a Time... In Hollywood,2019,161,7.6,83.0,636867,142.5
7,Knives Out,2019,130,7.9,82.0,526916,165.36
8,Once Upon a Time in America,1984,229,8.4,75.0,328577,5.32
9,Wind River,2017,107,7.7,73.0,223486,33.8
10,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,698526,317.58
11,The Wolf of Wall Street,2013,180,8.2,75.0,1264208,116.9
12,Zack Snyder's Justice League,2021,242,8.1,54.0,336360,
13,The Father,2020,97,8.3,88.0,96013,
14,Interstellar,2014,169,8.6,74.0,1614316,188.02
15,The Dark Knight,2008,152,9.0,84.0,2418284,534.86
16,Blade Runner 2049,2017,164,8.0,81.0,497682,92.05
17,Parasite,2019,132,8.6,96.0,659567,53.37
18,The Godfather,1972,175,9.2,100.0,1703431,134.97
19,Bohemian Rhapsody,2018,134,7.9,49.0,486129,216.43
20,Inception,2010,148,8.8,74.0,2169660,292.58
21,1917,2019,119,8.3,78.0,490700,159.23
22,Pulp Fiction,1994,154,8.9,94.0,1907893,107.93
23,Mad Max: Fury Road,2015,120,8.1,90.0,926692,154.06
24,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1730601,315.54
25,Gone Girl,2014,149,8.1,79.0,908161,167.77
26,Joker,2019,122,8.4,59.0,1066337,335.45
27,Goodfellas,1990,146,8.7,90.0,1069644,46.84
28,Avengers: Infinity War,2018,149,8.4,68.0,923480,678.82
29,Gladiator,2000,155,8.5,67.0,1398190,187.71
30,The Goonies,1985,114,7.8,62.0,255310,61.5
31,Forrest Gump,1994,142,8.8,82.0,1904343,330.25
32,Jurassic Park,1993,127,8.1,68.0,908790,402.45
33,Man on Fire,2004,146,7.7,47.0,341269,77.91
34,Tombstone,1993,130,7.8,50.0,135870,56.51
35,Guardians of the Galaxy,2014,121,8.0,76.0,1093505,333.18
36,Titanic,1997,194,7.8,75.0,1091994,659.33
37,Prisoners,2013,153,8.1,70.0,637209,61.0
38,Another Round,2020,117,7.8,79.0,108883,
39,American Psycho,2000,101,7.6,64.0,525089,15.07
40,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85.0,802317,381.01
41,Back to the Future,1985,116,8.5,87.0,1112526,210.61
42,Deadpool,2016,108,8.0,65.0,947761,363.07
43,Casino Royale,2006,144,8.0,80.0,600916,167.45
44,Sicario,2015,121,7.6,82.0,393952,46.89
45,Django Unchained,2012,165,8.4,81.0,1426070,162.81
46,Blade Runner,1982,117,8.1,84.0,721496,32.87
47,Inglourious Basterds,2009,153,8.3,69.0,1332337,120.54
48,The Gentlemen,2019,113,7.8,51.0,281292,
49,Thor: Ragnarok,2017,130,7.9,74.0,646238,315.06
